,ex1,ex2,ex3,final,level,group
28AYQLYnkgBi5uKXN,0.9375,1.0,0.6111111111111112,0.6666666666666666,High,2
2bcTjnfNuKp5hJcyK,0.125,0.625,0.0,0.42857142857142855,Low,1
53TwXKQe62kT2tnRp,0.6875,0.5625,0.08333333333333333,0.5238095238095238,High,2
Aw4gxBApCsdMueCwk,0.75,0.25,0.08333333333333333,0.5238095238095238,High,2
BMjGCT4wEQuYNyTiS,0.75,0.4375,0.2222222222222222,0.47619047619047616,High,1
C23vEwAz5F76NjERx,1.0,0.875,0.8888888888888888,0.8095238095238095,High,2
Gv7QyY2nyFbAQadHu,0.25,0.6875,0.0,0.8095238095238095,Medium,1
NEJpZWwLZ4dzzvYh7,0.6875,0.46875,0.4444444444444444,0.5714285714285714,Medium,1
PqdvC3XWpMyWFqire,0.25,0.125,0.2777777777777778,0.5238095238095238,Low,2
PrjgtRBCGbqJoZ3HN,0.75,0.875,0.5277777777777778,0.7619047619047619,Low,1
QpTfa3muPPMBFR9Pp,1.0,0.875,0.8888888888888888,0.8095238095238095,High,2
Sp3JZtnPt2G6W7a32,0.75,0.875,0.8888888888888888,0.8095238095238095,Medium,1
Ystaypp7AmJ4wYvsM,0.25,0.5,0.5,0.7619047619047619,High,1
YvCdYm3zReNZzrtNs,1.0,0.875,0.8888888888888888,0.5238095238095238,Low,2
bFNGRyeEysDF8YCYG,0.25,0.1875,0.6666666666666666,0.6666666666666666,High,1
hjfHvYz88HrEAiHw7,0.5,0.75,0.5277777777777778,0.47619047619047616,Low,1
iCcqC5LHLXf5Ja3jK,0.75,0.25,0.08333333333333333,0.7142857142857143,Medium,2
k2oxfxXXwQszGYgbX,0.5,1.0,0.7222222222222222,0.7619047619047619,High,1
o5DALaM8AFwY6H4tE,0.9375,1.0,0.3611111111111111,0.7619047619047619,Low,1
xGGhgoi8Lr67HZvga,0.5625,0.25,0.1111111111111111,0.42857142857142855,Low,2
znza2WvWyiBTfdzab,0.5,1.0,0.8888888888888888,0.7142857142857143,Low,2
zziBcRA4iFysNPizw,0.6875,0.5625,0.6944444444444444,0.7619047619047619,High,2
